"","year","site","transect","plantID","h_apical","h_apical.next","stem_width","aliveJune","surv","fec.flower","N_pods","per.leaves.dam","herb_avg","seedling","munched","log_herb_avg"
"1","2013","BLD1","40","4000",47.2,58.4,2.7,1,1,0,0,0,0,1,0,-2.30258509299405
"2","2013","BLD1","40","4001",38.5,84.2,9.5,1,1,0,0,6.25,0.0736169252637208,0,1,-1.75090398574953
"3","2013","BLD1","40","4002",43.9,68.6,5.7,1,1,0,0,0,0,0,0,-2.30258509299405
"4","2013","BLD1","40","4003",17,NA,7.5,1,0,0,NA,12.5,0.153087020797318,0,1,-1.3740218936732
"5","2013","BLD1","40","4004",64.4,109.5,10.4,1,1,0,6,0,0,0,0,-2.30258509299405
"6","2013","BLD1","40","4005",75,97.6,14.8,1,1,1,5,0,0,0,0,-2.30258509299405
"7","2013","BLD1","40","4006",72.4,102,12.2,1,1,1,6,0,0,0,0,-2.30258509299405
"8","2013","BLD1","40","4007",10.5,117.1,11,1,1,0,8,0,0,0,0,-2.30258509299405
"9","2013","BLD1","40","4008",72,96.8,13.9,1,1,1,8,0,0,0,0,-2.30258509299405
"10","2013","BLD1","40","4009",67.9,113.5,11.4,1,1,0,4,4.16666666666667,0.0484603350208625,0,1,-1.90743746065469
"11","2013","BLD1","40","4010",74.4,124.5,11.8,1,1,1,7,0,0,0,0,-2.30258509299405
"12","2013","BLD1","40","4011",56.5,126.4,11.5,1,1,0,0,0,0,0,0,-2.30258509299405
"13","2013","BLD1","40","4012",41.9,110.8,9.4,1,1,0,0,0,0,0,0,-2.30258509299405
"14","2013","BLD1","40","4013",57.5,102.4,11.1,1,1,0,5,0,0,0,0,-2.30258509299405
"15","2013","BLD1","40","4014",62.9,99.5,12.4,1,1,0,4,0,0,0,0,-2.30258509299405
"16","2013","BLD1","40","4015",65,112.8,9.5,1,1,1,5,0,0,0,0,-2.30258509299405
"17","2013","BLD1","40","4016",62,97.4,11.2,1,1,1,2,0,0,0,0,-2.30258509299405
"18","2013","BLD1","40","4017",55.8,93.4,9.1,1,1,0,0,0,0,0,0,-2.30258509299405
"19","2013","BLD1","40","4018",40.8,126.5,5,1,1,0,6,0,0,0,0,-2.30258509299405
"20","2013","BLD1","40","4019",63.5,97.1,9.8,1,1,0,5,13.6363636363636,0.168219923728578,0,1,-1.31594802406081
"21","2013","BLD1","40","4020",25,89.6,8.4,1,1,0,3,30.7692307692308,0.426376553523774,0,1,-0.641738441141259
"22","2013","BLD1","40","4021",70,111.5,11.6,1,1,0,5,0,0,0,0,-2.30258509299405
"23","2013","BLD1","40","4022",64.5,107.9,11.4,1,1,0,5,4.54545454545455,0.0529870579899805,0,1,-1.87740194946827
"24","2013","BLD1","40","4023",65,102,9.5,1,1,0,2,0,0,0,0,-2.30258509299405
"25","2013","BLD1","40","4024",39,71.6,6.2,1,1,0,0,0,0,0,0,-2.30258509299405
"26","2013","BLD1","40","4025",69,113.5,12,1,1,1,5,0,0,0,0,-2.30258509299405
"27","2013","BLD1","40","4026",59.3,54.2,4.4,1,1,0,0,0,0,0,0,-2.30258509299405
"28","2013","BLD1","40","4027",28,84.7,8.1,1,1,0,0,0,0,0,0,-2.30258509299405
"29","2013","BLD1","40","4028",61.8,11.9,11.4,1,1,0,4,0,0,0,0,-2.30258509299405
"30","2013","BLD1","40","4029",35,63.9,4.1,1,1,0,0,0,0,0,0,-2.30258509299405
"31","2013","BLD1","40","4030",44,80.3,5.9,1,1,0,0,7.14285714285714,0.0845956937982129,0,1,-1.68958728438908
"32","2013","BLD1","40","4031",40,78.2,6.9,1,1,0,0,0,0,0,0,-2.30258509299405
"33","2013","BLD1","40","4032",71.5,118.6,12.5,1,1,0,4,7.69230769230769,0.0914120013270095,0,1,-1.65332709907109
"34","2013","BLD1","40","4033",20,NA,3.6,1,0,0,NA,20,0.257209432825209,0,1,-1.02943302264311
"35","2013","BLD1","40","4034",25.5,NA,2.5,1,0,0,NA,16.6666666666667,0.209672954106757,1,1,-1.17223852514558
"36","2013","BLD1","40","4035",29.5,NA,4.1,1,0,0,NA,0,0,0,0,-2.30258509299405
"37","2013","BLD1","40","4036",78.5,124.5,13.3,1,1,1,6,0,0,0,0,-2.30258509299405
"38","2013","BLD1","40","4037",75.3,122.6,14,1,1,1,7,0,0,0,0,-2.30258509299405
