number,Spectra,Site,N,C,LMA,ADF,ADL,Cellulose,NDWI,Chl_g_m2,PRI,Cardenolides
1,1_BEAGLE RIDGE_NA_165_150622_2,BeagleRidge,3.01,44.2,63.08,27.38,32.61,17.46,0.0324,0.3547,0.0376,0.59
2,2_BEAGLE RIDGE_NA_166_150622_7,BeagleRidge,3.54,44.12,62.77,27.16,32.17,17.68,0.0372,0.3656,0.0369,0.78
3,3_BEAGLE RIDGE_NA_167_150622_10,BeagleRidge,3.61,43.98,38.55,24.22,29.21,16.6,0.0328,0.3503,0.0435,0.53
4,4_BEAGLE RIDGE_NA_168_150622_13,BeagleRidge,3.44,44.29,40.6,26.29,30.82,17.11,0.032,0.3438,0.0365,NA
5,5_BEAGLE RIDGE_NA_169_150622_16,BeagleRidge,3.61,43.95,40.21,22.01,27.83,16.19,0.0296,0.3066,0.0167,NA
6,6_BLDY_40_100_150619_271,BLD,2.65,45.23,67.41,30.03,28.05,20.52,0.0552,0.2859,0.0142,0.39
7,7_BLDY_40_101_150619_287,BLD,2.44,45.72,61.44,30.13,23.68,20.64,0.0539,0.256,-0.0183,0.18
8,8_BLDY_40_106_150619_253,BLD,2.36,45.89,69.8,29.28,23.73,20.85,0.0474,0.2463,0.004,0.44
9,9_BLDY_40_107_150619_277,BLD,2.55,44.29,26.5,25.44,23.55,19.46,0.0499,0.2226,0.0056,1.51
10,10_BLDY_40_118_150619_260,BLD,2.44,45.26,48.37,30,27.51,20.89,0.0383,0.2754,0.021,0.88
11,11_BLDY_40_119_150619_267,BLD,2.48,46.05,43.92,32.07,26.38,21.96,0.0431,0.268,0.0203,0.43
12,12_BLDY_40_124_150619_256,BLD,2.32,44.71,43.29,27.24,25.76,20.05,0.0373,0.222,0.0147,0.76
13,13_BLDY_40_138_150619_263.3333333,BLD,2.27,44.74,48.57,24.68,22.1,18.87,0.0375,0.2455,-0.0099,0.88
14,14_BLDY_40_1461_150619_294,BLD,2.19,44.52,58.69,23.28,21.1,17.62,0.0364,0.2255,-0.0104,1.59
15,15_BLDY_40_1463_150619_300,BLD,2.27,45.9,74.82,31.78,27.95,20.85,0.0477,0.2869,0.0199,0.47
16,16_BLDY_40_1468_150619_319,BLD,2.07,44.18,42.79,22,19.14,17.47,0.0392,0.1797,-0.0146,1.01
17,18_BLDY_40_1497_150619_351,BLD,2.16,45.17,54.1,26.77,22.9,18.89,0.0492,0.2717,0.0221,0.92
18,19_BLDY_40_1500_150619_339.3333333,BLD,2,43.77,21.68,17.04,11.92,15.97,0.0503,0.1626,-0.0093,1.51
19,20_BLDY_40_1516_150619_297,BLD,2.91,44.77,52.22,25.6,24.65,17.84,0.0403,0.2894,0.0241,1.08
20,21_BLDY_40_1593_150619_348,BLD,2.5,44.32,42.97,23.26,22.38,17.97,0.0299,0.2421,0.0228,0.68
21,22_BLDY_40_1988_150619_312,BLD,3.24,44.33,32.28,26.04,24.63,17.79,0.0441,0.3222,0.0314,1.42
22,23_BLDY_40_1994_150619_309,BLD,2.5,43.72,39.97,19.48,17.03,15.31,0.0512,0.2349,0.0006,1.5
23,24_BLDY_40_2005_150619_247,BLD,2.48,43.76,34.74,22.49,22.14,17.94,0.0359,0.1958,0.0155,0.86
24,26_BLDY_40_293_150619_333,BLD,3,43.6,16.33,21.27,22.95,16.85,0.036,0.2645,0.0224,2.38
25,27_BLDY_40_355_150619_280,BLD,2.31,45.47,43.78,27.56,22.41,19.85,0.0476,0.2022,0.013,0.43
26,28_BLDY_40_4020_150619_290,BLD,2.81,45.07,46.02,29.59,26.77,20.43,0.0508,0.2899,0.0234,0.76
27,29_BLDY_40_4027_150619_283,BLD,2.26,45.35,51.91,25.81,22.59,19.78,0.041,0.2194,0.0077,1.36
