"","block","buds_per_stem","herb_mean","h_apical_mean","N_mean","LMA_mean","Card_mean","site","year","transect"
"1",1,0.5,0.588235294117647,99.45,2.62,55.34,1.12,"PWR","2014 2015",80
"2",2,1,NA,121,2.685,49.815,0.805,"PWR","2014 2015",80
"3",3,0.333333333333333,NA,96.6666666666667,2.34,35.81,0.94,"PWR","2014 2015",80
"4",4,2,NA,122.8,NA,NA,NA,"PWR","2014 2015",80
"5",5,0.333333333333333,NA,132.166666666667,2.79,9.49,1.78,"PWR","2014 2015",80
"6",6,0.333333333333333,NA,135,NA,NA,NA,"PWR","2014 2015",80
"7",7,0.5,NA,125.68,2.46,31.2,1.28,"PWR","2014 2015",80
"8",8,0.5,NA,96.225,2.92,26.65,2.925,"PWR","2014 2015",80
"9",9,0.5,NA,110.75,NA,NA,NA,"PWR","2014 2015",80
"10",10,NA,NA,NA,NA,NA,NA,"PWR","2015 2014",80
"11",2,0.666666666666667,0.103442987500959,82.4333333333333,NA,NA,NA,"PWR","2014 2015",81
"12",3,0.333333333333333,0.293589743589744,69.1,2.45,53.23,1.74,"PWR","2014 2015",81
"13",4,0.666666666666667,0.267153136718354,77.15,3.0175,52.8525,2.0575,"PWR","2014 2015",81
"14",5,0.285714285714286,0.205164038859691,100.142857142857,2.61,37.36,2.08,"PWR","2014 2015",81
"15",6,1.25,0.186781609195402,65.025,3.02,43.94,1.84333333333333,"PWR","2014 2015",81
"16",7,0.333333333333333,0.15,95.0333333333333,NA,NA,NA,"PWR","2014 2015",81
"17",8,0.333333333333333,0.168478260869565,68.5,2.65,48.63,1.95,"PWR","2014 2015",81
"18",9,3,0.3,90,2.835,51.505,2.705,"PWR","2014 2015",81
"19",10,0.6,NA,102.3,2.57,75.19,2.04,"PWR","2014 2015",81
"20",11,0.714285714285714,NA,76.9571428571429,2.574,41.706,1.876,"PWR","2014 2015",81
"21",12,1.2,NA,63.72,2.5,30.76,1.56666666666667,"PWR","2014 2015",81
"22",13,2,NA,56.1,2.77,55.12,2.115,"PWR","2014 2015",81
"23",14,0,NA,93.7,NA,NA,NA,"PWR","2014 2015",81
"24",1,0.571428571428571,0.243722943722944,53.2166666666667,3.02,41.845,1.685,"PWR","2014 2015",83
"25",2,3.5,0.191428571428572,110.9,2.86,34.305,1.48,"PWR","2014 2015",83
"26",3,0.571428571428571,0.121123876123876,80.76,NA,NA,NA,"PWR","2014 2015",83
"27",4,1,0.224506072874494,98.5,2.78,41.2375,1.695,"PWR","2014 2015",83
"28",5,1,0.057449494949495,92.575,2.63333333333333,45.5633333333333,2.26,"PWR","2014 2015",83
"29",6,1.33333333333333,0.105760905760906,104.183333333333,2.68571428571429,43.9728571428571,2.13142857142857,"PWR","2014 2015",83
"30",7,0.692307692307692,0.169075667157509,106.963636363636,2.53666666666667,40.1183333333333,2.725,"PWR","2014 2015",83
"31",8,0.666666666666667,0.11029304029304,118.36,2.215,48.185,2.5975,"PWR","2014 2015",83
"32",9,1.33333333333333,0.336274509803922,89.14,2.7,37.1766666666667,2.45666666666667,"PWR","2014 2015",83
"33",10,0.6,0.180983957219251,99.2,2.32666666666667,46.67,2.46,"PWR","2014 2015",83
"34",11,0.75,0.183069828722003,108.966666666667,2.555,44.98,1.655,"PWR","2014 2015",83
"35",12,1.25,0.205324627063758,116.628571428571,2.10333333333333,43.5333333333333,2.45,"PWR","2014 2015",83
"36",13,1.2,0.244436483057173,127.6,2.74,49.745,2.57,"PWR","2014 2015",83
"37",14,1,0.235802011064477,125.181818181818,2.61142857142857,34.5028571428571,2.22,"PWR","2014 2015",83
"38",15,1.14285714285714,0.249993629558847,126.628571428571,2.47333333333333,41.15,1.98333333333333,"PWR","2014 2015",83
"39",16,8,NA,129.6,2.83,25.95,2.9,"PWR","2014 2015",83
"40",17,NA,0.1005291005291,75.8333333333333,3.03,12.835,3.44,"PWR","2015 NA",83
"41",18,NA,0,95.2,2.7,28.91,2.16,"PWR","2015 NA",83
"42",1,0.333333333333333,0.103174603174603,61.9166666666667,NA,NA,NA,"BLD","2014 2015",42
"43",2,0.3,0.127777777777778,58.7666666666667,2.09,53.43,0.84,"BLD","2014 2015",42
"44",3,1.75,0.149350649350649,59.825,2.37,41.49,0.98,"BLD","2014 2015",42
"45",4,4,0.256084656084656,53.8666666666667,2.64,52.39,0.14,"BLD","2014 2015",42
"46",5,1.5,0.122222222222222,43.025,2.31,57.94,1.21,"BLD","2014 2015",42
"47",6,1.77777777777778,0.200179758513092,56.9111111111111,2.36,57.74,0.5,"BLD","2014 2015",42
"48",7,2.11111111111111,0.257347989700931,56.0333333333333,NA,NA,NA,"BLD","2014 2015",42
"49",8,2,0.358658008658009,60.6714285714286,2.76,44.73,0.93,"BLD","2014 2015",42
"50",9,0.625,0.293497474747475,57.1,2.31,53.45,1.06,"BLD","2014 2015",42
"51",10,2.2,0.275384615384615,43.34,2.57,57.72,NA,"BLD","2014 2015",42
"52",11,0.9,0.494897959183673,29.5,NA,NA,NA,"BLD","2014 2015",42
"53",12,0.7,0.708824354657688,53.51,NA,NA,NA,"BLD","2014 2015",42
"54",13,1.77777777777778,0.445903479236813,68.8444444444444,NA,NA,NA,"BLD","2014 2015",42
