,cloneID,plantID,site,transect,recorder,measurer,h_apical,l_length,l_width,stem_width,N_umbels,N_leaves,herb0,herb1,herb2,herb3,herb4,herb5,herb6,notes,herb_avg,alive,height_next,goodpods,badpods,totLA,repSuccess,repAllocation
1,1,4000,BLD1,40,sf,mn,30.9,12.5,6.4,6.9,0,8,8,0,0,0,0,0,0,NA,0,1,57.8,0,0,640,0,0
2,2,4001,BLD1,40,sf,mn,24.2,7.5,2.6,5.8,0,3,3,0,0,0,0,0,0,NA,0,0,NA,NA,NA,58.5,0,0
3,3,4002,BLD1,40,sf,mn,48.3,14.2,5.6,7.8,0,10,10,0,0,0,0,0,0,NA,0,1,51.9,0,0,795.2,0,0
4,4,4004,BLD1,40,sf,mn,57.6,14.4,6.2,7.9,0,13,10,2,1,0,0,0,0,NA,0.307692308,1,72,0,0,1160.64,0,0
5,5,4005,BLD1,40,sf,mn,45.2,11,4.5,6.6,0,8,8,0,0,0,0,0,0,NA,0,1,47.7,0,0,396,0,0
6,6,4006,BLD1,40,sf,mn,20.1,11.2,3.6,2.8,0,5,4,1,0,0,0,0,0,NA,0.2,0,NA,NA,NA,201.6,0,0
7,7,4007,BLD1,40,sf,mn,54.3,13.6,5.7,7.2,0,14,8,4,1,1,0,0,0,NA,0.642857143,1,71.4,0,0,1085.28,0,0
8,8,4008,BLD1,40,sf,mn,73.5,21.1,9.2,14.1,3,18,13,4,1,0,0,0,0,NA,0.333333333,0,NA,NA,NA,3494.16,0,0
9,9,4010,BLD1,40,sf,mn,42.6,10.2,4.1,5.6,0,10,4,0,2,3,1,0,0,NA,1.7,0,NA,NA,NA,418.2,0,0
10,10,4012,BLD1,40,sf,mn,68.5,18.5,6.9,16.2,0,20,17,1,1,1,0,0,0,NA,0.3,1,92.3,0,0,2553,0,0
11,11,4013,BLD1,40,sf,mn,56.6,15.5,6.1,8,0,15,13,0,2,0,0,0,0,NA,0.266666667,1,69.8,0,0,1418.25,0,0
12,12,4015,BLD1,40,sf,mn,33.9,9.9,4.6,7.1,0,6,5,0,0,0,1,0,0,NA,0.666666667,1,67.2,0,0,273.24,0,0
13,13,4017,BLD1,40,ak,rd,72.9,20.6,7.4,12.2,3,17,15,1,1,0,0,0,0,NA,0.176470588,1,84.9,0,0,2591.48,0,0
14,14,4018,BLD1,40,sf,mn,24.1,8.5,3.8,5.7,0,2,0,0,0,2,0,0,0,primary stem chewed,3,0,NA,NA,NA,64.6,0,0
15,15,4019,BLD1,40,ak,rd,66.5,16.6,7.6,10.4,2,13,12,1,0,0,0,0,0,NA,0.076923077,1,86.7,1,0,1640.08,0.5,0.015037594
16,16,4020,BLD1,40,ak,rd,65.7,15.8,7,11,0,14,13,1,0,0,0,0,0,NA,0.071428571,1,87.5,0,0,1548.4,0,0
17,17,4021,BLD1,40,sf,mn,27.8,10.2,3.6,4,0,6,6,0,0,0,0,0,0,NA,0,0,NA,NA,NA,220.32,0,0
18,18,4022,BLD1,40,sf,mn,34.9,12.3,5.1,9.6,0,5,3,1,1,0,0,0,0,"remeasured 3 times, final by rec: ak, mes: hd on 170616",0.6,1,70.8,0,0,313.65,0,0
19,19,4024,BLD1,40,sf,mn,44.4,13.5,5.4,8.9,0,8,7,0,1,0,0,0,0,NA,0.25,1,59.8,0,0,583.2,0,0
20,20,4025,BLD1,40,sf,mn,55.4,14.5,5.4,7.4,0,12,6,0,4,1,1,0,0,NA,1.25,0,NA,NA,NA,939.6,0,0
21,21,4026,BLD1,40,ak,rd,32.2,8.5,3.1,3,0,9,9,0,0,0,0,0,0,NA,0,0,NA,NA,NA,237.15,0,0
22,22,4027,BLD1,40,ak,rd,40.5,10.5,3.5,5.4,0,10,10,0,0,0,0,0,0,NA,0,0,NA,NA,NA,367.5,0,0
23,23,4200,BLD1,42,ks,ss,59.8,15.2,7,8.8,0,16,14,2,0,0,0,0,0,NA,0.125,1,71.1,0,0,1702.4,0,0
24,24,4202,BLD1,42,ks,ss,28,7.2,3.1,3.8,0,4,4,0,0,0,0,0,0,NA,0,0,NA,NA,NA,89.28,0,0
