"","Plant_ID","date_measured_1","site","height_1","stem_diameter_1","leaf_l_1","leaf_w_1","N_leaves_1","herb_0_1","herb_1_1","herb_2_1","herb_3_1","herb_4_1","herb_5_1","herb_6_1","notes_1","treatment_herb_level","date_soil_pre","date_soil_post","flower_may_26","munched_may_24","height_2","stem_diameter_2","leaf_l_2","leaf_w_2","N_leaves_2","herb_0_2","herb_1_2","herb_2_2","herb_3_2","herb_4_2","herb_5_2","herb_6_2","notes_2","umbels_tot","umbels_open","umbels_sampled","nectar_date","nectar_umbel_num_from_bottom","flowers_on_nectar_umbel_tot","flowers_on_nectar_umbel_open","removals_nectar_umbel","insertions_all_umbels","open_flowers_all_umbels","pods_date","tot_pods_ever","tot_pods_present","viable_pods_present","date_floral_tissue_first_noticed","soil_photo_notes","poll_quant_date_t1","umbels_tot_t1","umbels_open_t1","nectar_umbel_num_t1","removals_t1","insertions_t1","open_flowers_t1","nectar_flowers_tot_t1","nectar_flowers_open_t1","poll_nec_notes_t1","poll_quant_date_t2","umbels_tot_t2","umbels_open_t2","nectar_umbel_num_t2","removals_t2","insertions_t2","open_flowers_t2","nectar_flowers_tot_t2","nectar_flowers_open_t2","poll_nect_notes_t2","nect_sug_t1","nect_sug_t2","pod_notes","herb","logHerb","year","measureElapsed","photoElapsed","growthRate","herbRate","flowered_binary","survival","postHerbPhotoNoTime","avg_herb_2"
"1",1,"2021-05-26","sky",17.9,3.8,8.1,2.4,8,8,0,0,0,0,0,0,"reselected due to flowering",0,"5/26/21","6/2/21",0,0,23.6,3.2,7.1,2,14,0,2,3,0,0,0,8,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526226124561806,0.422798103117673,1,37,8,0.00860637173486336,0.0657782655702257,0,NA,0.526226124561806,4.30769230769231
"2",2,"2021-05-18","sky",16,7.5,11.5,5.1,12,12,0,0,0,0,0,0,"",3,"5/26/21","6/2/21",0,0,45.5,5.6,10.4,4.5,24,2,6,0,10,0,0,6,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.650480035485787,-1.05119459586616,1,45,14,0.0409722222222222,-0.0464628596775562,0,NA,-0.650480035485787,3
"3",3,"2021-05-18","sky",16.4,7,9,4.3,14,10,0,3,1,0,0,0,"",1,"5/26/21","6/2/21",0,0,28,6.7,8.2,3.4,16,0,12,0,0,0,0,4,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178432176102102,0.164184890700251,1,45,14,0.0157181571815718,0.0127451554358644,0,NA,0.178432176102102,2.25
"4",4,"2021-05-26","sky",26.2,8.4,14.8,6.1,14,10,2,0,0,0,0,2,"reselected due to flowering",2,"5/26/21","6/2/21",0,0,38.7,9.4,9.9,3.5,20,0,11,4,0,0,0,5,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0170521408527201,0.016908385027243,1,37,8,0.0128945739632763,0.00213151760659002,0,NA,0.0170521408527202,2.45
"5",5,"2021-05-18","sky",12.9,6.3,9.4,3.8,10,10,0,0,0,0,0,0,"",1,"5/26/21","6/2/21",0,0,30.2,6.5,8.8,4,18,11,2,0,0,0,1,4,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711862820052738,0.537582146035225,1,45,14,0.029801894918174,0.0508473442894813,0,NA,0.711862820052738,1.72222222222222
"6",6,"2021-05-26","sky",16.5,4.5,11.2,4,10,10,0,0,0,0,0,0,"reselected due to flowering",1,"5/26/21","6/2/21",0,0,48.5,6,12.2,6.1,22,1,14,5,0,0,0,2,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08191639635869,0.733288813939211,1,37,8,0.0524160524160524,0.135239549544836,0,NA,1.08191639635869,1.63636363636364
"7",7,"2021-05-18","sky",27.4,6.1,11.3,4,10,10,0,0,0,0,0,0,"",1,"5/26/21","6/2/21",0,0,34.6,5.2,9.4,17,12,0,9,1,0,0,0,2,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168783863770887,0.155963775550434,1,45,14,0.00583941605839416,0.0120559902693491,0,NA,0.168783863770887,1.91666666666667
"8",8,"2021-05-18","sky",28.8,6.7,12.8,4.7,12,12,0,0,0,0,0,0,"",3,"5/26/21","6/2/21",0,0,54.6,5,9.5,3.8,20,0,8,1,7,0,0,4,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.769822731530198,-1.46890553444329,1,45,14,0.0199074074074074,-0.0549873379664427,0,NA,-0.769822731530198,2.75
"9",9,"2021-05-18","sky",23.5,8.5,14.4,6.4,14,14,0,0,0,0,0,0,"",3,"5/26/21","6/2/21",0,0,89,8.4,12.1,5.8,34,10,8,0,6,2,0,8,"",0,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.608146153643755,-0.936866349642081,1,45,14,0.0619385342789598,-0.0434390109745539,0,NA,-0.608146153643755,2.41176470588235
"10",10,"2021-05-18","sky",23.9,10.7,8.9,4.2,8,6,1,0,1,0,0,0,"",1,"5/26/21","6/2/21",0,0,110.1,11.9,18.3,8.9,24,0,18,1,0,0,0,5,"flowers dead",2,0,"","",NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8011726241001,1.56886018476579,1,45,14,0.0801487680148768,0.271512330292864,1,NA,3.8011726241001,2.08333333333333
