Date Collected (YYMMDD),Site,Plant_number,Pod_number,total_seed,Initials,Date_counted
130819,SKY,7011,1,270,RH,131016
130820,BLD,7,1,173,MH,130930
130820,BLD,7,2,170,MH,131002
130820,BLD,7,3,111,RH,130924
130820,BLD,7,4,152,MH,130927
130820,BLD,7,5,104,RH,130926
130820,BLD,7,6,226,RH,130919
130820,BLD,7,7,160,RH,130926
130820,BLD,7,8,155,RH,130917
130820,BLD,8,1,248,RH,130924
130820,BLD,8,2,222,RH,130917
130820,BLD,8,3,231,MH,131002
130820,BLD,8,4,227,RH,130913
130820,BLD,8,5,246,RH,130926
130820,BLD,8,6,244,MH,130923
130820,BLD,8,7,227,RH,131001
130820,BLD,8,8,172,RH,130924
130820,BLD,9,1,300,MH,130929
130820,BLD,9,2,300,MH,130923
130820,BLD,9,3,281,RH,130924
130820,BLD,10,1,201,MH,131006
130820,BLD,10,2,185,RH,130917
130820,BLD,10,3,186,MH,130923
130820,BLD,10,4,184,RH,130917
130820,BLD,10,5,187,RH,131010
130820,BLD,11,1,176,RH,130919
130820,BLD,11,2,274,RH,131003
130820,BLD,11,3,272,RH,130919
130820,BLD,11,4,278,RH,131010
130820,BLD,11,5,293,RH,131009
130820,BLD,11,6,271,MH,131006
130820,BLD,12,1,287,RH,130919
130820,BLD,12,2,264,RH,131001
130820,BLD,12,3,260,MH,131006
130820,BLD,12,4,247,MH,130929
130820,BLD,12,6,267,RH,131001
130820,SKY,1,1,246,RH,130913
130820,SKY,1,2,244,RH,131003
130820,SKY,1,4,257,RH,131001
130820,SKY,2,1,244,MH,130929
130820,SKY,2,2,158,RH,130925
130820,SKY,2,7,200,RH,130917
130820,SKY,3,2,243,MH,130927
130820,SKY,3,3,237,RH,130913
130820,SKY,3,4,157,RH,130924
130820,SKY,4,1,162,MH,130927
130820,SKY,4,3,258,RH,130925
130820,SKY,4,4,283,MH,130929
130820,SKY,5,1,209,RH,131003
130820,SKY,5,2,170,MH,130930
130820,SKY,5,4,174,RH,130925
130820,SKY,6,1,245,RH,131001
130820,SKY,6,2,226,MH,130930
130820,SKY,6,6,234,RH,130919
130907,PWR,1,1,256,RH,131001
130907,PWR,1,2,249,RH,131001
130907,PWR,1,3,273,RH,130102
130907,PWR,7,1,260,RH,130926
130908,PWR,2,2,161,RH,131010
130908,PWR,3,2,93,RH,130926
130908,PWR,4,1,245,RH,131010
130908,PWR,4,2,241,RH,131003
130908,PWR,4,3,239,RH,131003
130908,PWR,4,4,228,RH,131010
130908,PWR,5,1,216,RH,130926
130908,PWR,7,2,121,RH,130924
130908,PWR,9,1,224,RH,131016
130908,PWR,9,2,209,MH,131016
130908,PWR,10,1,131,RH,131016
130908,PWR,10,2,0,MH,131016
130908,PWR,10,3,118,RH,131010
130908,PWR,10,4,158,RH,131003
150829,BLD,1,A,161,rr,NA
150829,BLD,1,B,172,rr,NA
150829,BLD,2,A,87,ec,NA
150829,BLD,2,B,176,ec,NA
150829,BLD,3,B,247,rr,NA
150829,BLD,4,A,179,ec,NA
150829,BLD,5,A,232,sy,NA
150829,BLD,5,B,166,sy,NA
150829,BLD,6,A,175,ec,NA
